ID_Assuré,Période_exposition,Nb_sinistres,Montant_total,Âge,Sexe,Expérience,Type_véhicule,Zone_géographique,Usage,Historique,Date_sinistre
A1331,0.74,0,0,24,Femme,0,Berline,Nantes,Privé,Malus,
A1332,0.63,0,0,69,Femme,28,SUV,Toulouse,Professionnel,Malus,
A1333,0.61,0,0,39,Homme,21,Break,Nice,Professionnel,Bonus,
A1334,0.63,0,0,35,Homme,16,Break,Nice,Privé,,
A1335,0.81,0,0,39,Femme,7,Break,Lille,Professionnel,,
A1336,0.78,2,11213,60,Homme,37,Utilitaire,Nantes,Privé,Malus,2024-10-01
A1337,0.76,0,0,66,Homme,21,Citadine,Toulouse,Privé,Malus,
A1338,0.73,3,5224,52,Femme,8,SUV,Lille,Professionnel,Bonus,2024-10-02
A1339,0.96,1,10490,63,Femme,31,SUV,Bordeaux,Professionnel,,2024-09-04
A1340,0.84,1,7983,43,Femme,21,Break,Nice,Professionnel,,2024-02-04
A1341,0.72,0,0,40,Femme,5,Cabriolet,Strasbourg,Privé,Malus,
A1342,0.93,1,3788,62,Femme,29,Break,Paris,Privé,,2024-04-07
A1343,0.77,3,13512,38,Femme,0,Break,Toulouse,Professionnel,,2024-06-09
A1344,1.0,0,0,31,Homme,0,Utilitaire,Paris,Professionnel,Bonus,
A1345,0.96,0,0,48,Homme,10,Utilitaire,Nantes,Privé,Malus,
A1346,1.0,0,0,69,Homme,9,Break,Toulouse,Privé,Bonus,
A1347,0.55,1,9839,37,Homme,8,Cabriolet,Marseille,Professionnel,,2024-04-13
A1348,0.51,0,0,50,Femme,30,Berline,Rennes,Professionnel,Malus,
A1349,0.85,1,10831,26,Femme,3,Citadine,Toulouse,Privé,Malus,2024-03-08
A1350,0.6,1,19204,68,Homme,23,Citadine,Strasbourg,Privé,,2024-09-08
A1351,0.82,3,14050,35,Femme,17,Cabriolet,Strasbourg,Privé,,2024-03-08
A1352,0.77,0,0,57,Femme,20,Berline,Rennes,Professionnel,,
A1353,0.54,0,0,67,Homme,3,Utilitaire,Strasbourg,Privé,Malus,
A1354,0.59,0,0,49,Homme,1,Berline,Marseille,Privé,Bonus,
A1355,0.8,0,0,19,Homme,1,SUV,Paris,Professionnel,Bonus,
A1356,0.8,0,0,37,Femme,4,Berline,Bordeaux,Professionnel,Malus,
A1357,0.99,0,0,60,Homme,39,Utilitaire,Lyon,Privé,,
A1358,0.85,1,11309,43,Femme,7,Cabriolet,Lyon,Privé,Bonus,2024-10-21
A1359,0.67,2,18323,55,Homme,23,Utilitaire,Marseille,Privé,,2024-06-16
A1360,0.59,0,0,70,Homme,27,Berline,Nantes,Privé,Bonus,
A1361,0.72,0,0,60,Homme,10,Citadine,Lille,Privé,Bonus,
A1362,0.87,0,0,26,Homme,6,Utilitaire,Rennes,Privé,Bonus,
A1363,0.8,0,0,59,Homme,38,Break,Lille,Professionnel,Bonus,
A1364,0.87,1,8261,29,Femme,5,Break,Nantes,Privé,Bonus,2024-05-05
A1365,0.61,1,14072,56,Femme,20,SUV,Lyon,Professionnel,Bonus,2024-09-24
A1366,0.6,3,6731,64,Homme,10,Berline,Marseille,Privé,,2024-11-04
A1367,0.83,2,9512,24,Femme,2,Berline,Nice,Professionnel,Malus,2024-03-03
A1368,0.65,0,0,24,Homme,5,Berline,Lyon,Professionnel,Malus,
A1369,0.84,1,17634,34,Homme,8,Citadine,Bordeaux,Privé,Malus,2024-09-16
A1370,0.98,0,0,42,Femme,7,Citadine,Marseille,Privé,,
A1371,0.79,1,16724,22,Femme,0,Cabriolet,Bordeaux,Professionnel,Bonus,2024-04-09
A1372,0.86,0,0,41,Homme,22,Break,Strasbourg,Privé,,
A1373,0.94,1,2018,37,Homme,2,Berline,Strasbourg,Privé,,2024-08-14
A1374,0.95,1,987,52,Femme,12,Berline,Bordeaux,Professionnel,Malus,2024-01-14
A1375,0.7,0,0,32,Homme,10,Citadine,Strasbourg,Professionnel,Bonus,
A1376,0.98,0,0,23,Femme,5,Berline,Lille,Privé,Bonus,
A1377,0.64,0,0,55,Homme,35,Citadine,Nantes,Privé,Bonus,
A1378,0.88,0,0,54,Femme,10,Citadine,Bordeaux,Professionnel,Bonus,
A1379,0.86,0,0,29,Homme,11,Break,Lille,Privé,Bonus,
A1380,0.75,1,11518,48,Femme,20,Break,Nantes,Professionnel,Bonus,2024-09-19
A1381,0.55,0,0,68,Homme,12,SUV,Toulouse,Privé,Bonus,
A1382,0.59,0,0,29,Homme,3,Break,Bordeaux,Professionnel,,
A1383,0.98,0,0,55,Femme,29,Break,Rennes,Professionnel,Malus,
A1384,0.61,0,0,26,Femme,8,Break,Toulouse,Professionnel,Bonus,
A1385,0.89,0,0,59,Femme,36,Cabriolet,Nice,Professionnel,Malus,
A1386,0.62,1,6771,49,Femme,23,SUV,Lyon,Privé,Malus,2024-02-27
A1387,0.87,0,0,40,Homme,14,Break,Nantes,Professionnel,Bonus,
A1388,0.77,0,0,43,Femme,5,SUV,Strasbourg,Professionnel,,
A1389,0.76,3,2915,50,Homme,20,Utilitaire,Nantes,Professionnel,,2024-07-30
A1390,1.0,0,0,40,Homme,4,Break,Bordeaux,Professionnel,Bonus,
A1391,0.91,0,0,60,Homme,40,Citadine,Lyon,Privé,Bonus,
A1392,0.78,1,7540,27,Homme,5,Cabriolet,Rennes,Privé,Bonus,2024-01-18
A1393,0.93,0,0,57,Homme,35,Citadine,Toulouse,Privé,,
A1394,0.93,0,0,31,Homme,6,SUV,Toulouse,Privé,Bonus,
A1395,0.51,0,0,23,Homme,2,Citadine,Nice,Professionnel,Malus,
A1396,0.87,0,0,40,Homme,2,Berline,Nantes,Professionnel,Bonus,
A1397,0.61,0,0,58,Femme,7,Cabriolet,Lille,Privé,Malus,
A1398,0.91,0,0,20,Femme,1,Berline,Lyon,Professionnel,Bonus,
A1399,0.87,0,0,37,Femme,1,Utilitaire,Lyon,Professionnel,Malus,
A1400,0.57,0,0,31,Femme,1,Break,Nantes,Professionnel,,
A1401,0.76,1,17035,31,Homme,3,SUV,Nantes,Professionnel,Malus,2024-09-07
A1402,0.93,2,5354,67,Femme,1,Citadine,Marseille,Privé,Malus,2024-02-08
A1403,0.85,1,8328,21,Homme,3,Cabriolet,Marseille,Privé,Malus,2024-03-10
A1404,0.95,0,0,32,Femme,8,Cabriolet,Toulouse,Privé,Bonus,
A1405,0.87,1,9915,37,Femme,17,Citadine,Lyon,Privé,Bonus,2024-11-25
A1406,0.73,0,0,70,Femme,20,Utilitaire,Strasbourg,Professionnel,,
A1407,0.85,0,0,29,Femme,2,Cabriolet,Lille,Privé,Malus,
A1408,0.81,0,0,68,Homme,8,Berline,Lyon,Privé,Bonus,
A1409,0.75,1,19342,23,Homme,0,Break,Lyon,Privé,,2024-02-03
A1410,0.66,1,15984,59,Homme,16,Break,Strasbourg,Professionnel,Bonus,2024-12-04
A1411,0.98,0,0,45,Femme,1,Cabriolet,Lille,Professionnel,Malus,
A1412,0.8,0,0,29,Homme,0,Citadine,Strasbourg,Professionnel,,
A1413,0.6,1,14351,28,Homme,7,Citadine,Bordeaux,Privé,Bonus,2024-08-24
A1414,0.55,1,2048,48,Homme,12,Break,Paris,Privé,,2024-12-11
A1415,0.81,1,10188,69,Homme,11,Berline,Marseille,Privé,,2024-05-04
A1416,0.69,3,8396,25,Homme,0,Break,Nantes,Professionnel,,2024-09-02
A1417,0.94,0,0,24,Homme,4,SUV,Strasbourg,Professionnel,Bonus,
A1418,0.99,0,0,33,Femme,10,SUV,Toulouse,Professionnel,Malus,
A1419,0.65,0,0,36,Femme,17,Citadine,Nice,Professionnel,Malus,
A1420,0.79,0,0,70,Homme,19,Cabriolet,Toulouse,Privé,Bonus,
A1421,0.54,1,8369,45,Femme,6,Citadine,Toulouse,Privé,,2024-05-12
A1422,0.93,0,0,40,Femme,7,Berline,Rennes,Professionnel,,
A1423,0.67,1,13406,70,Femme,23,Break,Rennes,Professionnel,Malus,2024-07-23
A1424,0.59,0,0,38,Homme,1,Citadine,Marseille,Professionnel,Bonus,
A1425,0.73,0,0,48,Homme,5,SUV,Lyon,Privé,,
A1426,0.66,1,4358,33,Femme,6,Break,Bordeaux,Professionnel,Bonus,2024-01-04
A1427,0.69,0,0,57,Homme,27,Cabriolet,Nantes,Professionnel,Malus,
A1428,0.68,0,0,40,Homme,17,Citadine,Nice,Professionnel,Bonus,
A1429,0.74,0,0,23,Homme,2,Utilitaire,Nantes,Privé,,
A1430,0.94,1,1080,50,Femme,32,SUV,Lille,Privé,Malus,2024-07-03
A1431,0.67,2,17258,28,Homme,5,Citadine,Marseille,Professionnel,,2024-05-18
A1432,0.63,2,8534,43,Femme,3,Utilitaire,Bordeaux,Professionnel,Malus,2024-06-07
A1433,0.51,0,0,39,Homme,15,Cabriolet,Marseille,Privé,Malus,
A1434,0.53,1,1998,23,Homme,0,Citadine,Nantes,Professionnel,Bonus,2024-02-11
A1435,0.52,0,0,69,Femme,18,Citadine,Nice,Privé,,
A1436,0.58,0,0,48,Homme,3,SUV,Lille,Professionnel,Bonus,
A1437,0.78,2,2902,63,Femme,13,Break,Marseille,Professionnel,Malus,2024-07-31
A1438,0.96,2,11671,53,Femme,1,SUV,Lyon,Privé,Bonus,2024-05-22
A1439,0.83,1,981,49,Homme,27,Utilitaire,Paris,Privé,Malus,2024-05-24
A1440,0.96,3,11220,49,Homme,1,Cabriolet,Rennes,Privé,Malus,2024-02-28
A1441,0.86,1,8377,70,Femme,27,Berline,Rennes,Professionnel,Bonus,2024-06-16
A1442,0.98,0,0,47,Homme,8,SUV,Marseille,Privé,Bonus,
A1443,0.99,1,14983,41,Homme,2,Utilitaire,Lille,Professionnel,Bonus,2024-01-01
A1444,0.97,2,15826,25,Homme,6,Break,Marseille,Privé,,2024-04-08
A1445,0.51,2,18556,59,Femme,10,Cabriolet,Toulouse,Privé,,2024-08-14
A1446,0.96,3,754,64,Femme,30,Break,Bordeaux,Privé,Bonus,2024-12-03
A1447,0.79,3,17363,69,Homme,1,Berline,Bordeaux,Privé,Malus,2024-05-15
A1448,0.69,0,0,38,Homme,20,Berline,Bordeaux,Professionnel,Malus,
A1449,0.65,2,2392,68,Femme,40,Break,Nice,Privé,Malus,2024-07-11
A1450,0.62,0,0,34,Femme,1,Cabriolet,Paris,Privé,Malus,
A1451,0.69,0,0,49,Femme,7,Utilitaire,Nice,Privé,Bonus,
A1452,0.63,2,2027,21,Homme,1,SUV,Toulouse,Professionnel,,2024-08-25
A1453,0.96,0,0,44,Femme,7,Citadine,Lille,Privé,Malus,
A1454,0.74,0,0,18,Homme,0,Utilitaire,Lyon,Privé,Malus,
A1455,0.86,3,19957,51,Femme,15,Citadine,Nantes,Professionnel,Malus,2024-03-16
A1456,0.97,0,0,48,Homme,24,Citadine,Lille,Privé,,
A1457,0.64,0,0,51,Femme,28,Berline,Nantes,Privé,Bonus,
A1458,0.58,0,0,61,Femme,0,Citadine,Marseille,Professionnel,,
A1459,0.56,0,0,26,Homme,0,SUV,Bordeaux,Professionnel,Bonus,
A1460,0.72,0,0,52,Homme,15,SUV,Marseille,Professionnel,,
A1461,0.98,1,7696,37,Femme,9,Cabriolet,Nantes,Professionnel,Malus,2024-03-27
A1462,0.75,1,2924,50,Homme,32,Utilitaire,Paris,Professionnel,Bonus,2024-01-11
A1463,0.94,0,0,30,Homme,10,Citadine,Lille,Professionnel,Malus,
A1464,0.73,0,0,55,Femme,18,Utilitaire,Lille,Privé,Malus,
A1465,0.69,0,0,40,Femme,10,Cabriolet,Nantes,Privé,Malus,
A1466,0.55,2,2501,55,Homme,12,Berline,Marseille,Professionnel,Malus,2024-11-05
A1467,0.79,0,0,27,Femme,1,Cabriolet,Lyon,Privé,,
A1468,0.97,1,8055,69,Homme,5,Citadine,Strasbourg,Professionnel,Malus,2024-09-10
A1469,0.84,0,0,60,Femme,13,Utilitaire,Nantes,Professionnel,,
A1470,0.66,2,19014,62,Femme,23,Berline,Toulouse,Privé,Bonus,2024-01-08
A1471,0.9,0,0,60,Femme,27,Cabriolet,Bordeaux,Professionnel,,
A1472,0.87,3,18564,48,Femme,10,Citadine,Toulouse,Professionnel,Bonus,2024-04-25
A1473,0.72,0,0,41,Homme,21,Utilitaire,Toulouse,Privé,Bonus,
A1474,0.72,1,1237,65,Femme,3,Berline,Nice,Professionnel,Bonus,2024-12-24
A1475,0.59,0,0,55,Femme,14,Berline,Rennes,Privé,,
A1476,0.67,0,0,22,Homme,3,Utilitaire,Marseille,Professionnel,Bonus,
A1477,0.83,0,0,69,Homme,5,Berline,Lille,Professionnel,Malus,
A1478,0.92,0,0,32,Homme,1,SUV,Marseille,Professionnel,Malus,
A1479,0.6,0,0,19,Homme,0,Break,Toulouse,Privé,Malus,
A1480,0.92,0,0,66,Homme,18,Berline,Lille,Privé,,
A1481,0.66,0,0,65,Homme,25,Berline,Marseille,Professionnel,,
A1482,0.89,0,0,49,Femme,7,Berline,Rennes,Privé,Malus,
A1483,0.96,1,14209,21,Homme,1,Citadine,Toulouse,Professionnel,,2024-06-14
A1484,0.63,2,14425,39,Femme,20,Cabriolet,Rennes,Professionnel,Bonus,2024-07-19
A1485,0.91,0,0,29,Femme,11,Break,Toulouse,Privé,Bonus,
A1486,0.9,0,0,37,Homme,5,Break,Toulouse,Privé,Malus,
A1487,0.84,0,0,19,Homme,1,Break,Nantes,Privé,Bonus,
A1488,0.65,2,15000,42,Homme,15,Break,Strasbourg,Professionnel,Bonus,2024-08-20
A1489,0.56,1,4165,38,Homme,9,Berline,Lyon,Professionnel,Malus,2024-02-16
A1490,0.79,0,0,59,Femme,8,Berline,Lille,Professionnel,,
A1491,0.69,1,5623,30,Homme,10,Utilitaire,Rennes,Professionnel,,2024-06-18
A1492,0.91,0,0,39,Homme,5,Citadine,Strasbourg,Professionnel,,
A1493,0.71,0,0,57,Femme,16,Berline,Marseille,Professionnel,,
A1494,0.87,1,8333,22,Femme,1,Break,Nice,Professionnel,Malus,2024-08-27
A1495,0.56,0,0,42,Homme,5,Break,Toulouse,Professionnel,Bonus,
A1496,0.52,0,0,49,Homme,21,Break,Strasbourg,Privé,Malus,
A1497,0.7,2,5317,54,Homme,22,Berline,Lille,Professionnel,,2024-08-05
A1498,0.68,0,0,60,Homme,34,Citadine,Rennes,Professionnel,,
A1499,0.85,0,0,33,Homme,0,Break,Nice,Professionnel,,
A1500,0.95,0,0,42,Homme,2,Utilitaire,Nice,Privé,Bonus,
A1501,0.72,3,19076,38,Femme,10,Break,Nice,Privé,Bonus,2024-08-31
A1502,0.63,0,0,53,Homme,32,Break,Lyon,Professionnel,,
A1503,0.51,0,0,50,Homme,21,Citadine,Rennes,Professionnel,Bonus,
A1504,0.75,2,4654,18,Homme,0,Break,Nantes,Professionnel,Malus,2024-07-19
A1505,0.74,1,1882,59,Femme,19,Utilitaire,Nice,Privé,,2024-05-16
A1506,0.96,0,0,62,Femme,6,SUV,Lille,Privé,,
A1507,0.6,0,0,48,Femme,16,Break,Lyon,Privé,Bonus,
A1508,0.77,0,0,46,Homme,14,SUV,Bordeaux,Privé,Malus,
A1509,0.65,3,4543,32,Homme,3,SUV,Nice,Professionnel,Malus,2024-08-03
A1510,0.59,1,6973,34,Femme,11,SUV,Toulouse,Privé,Bonus,2024-09-13
A1511,0.55,0,0,24,Homme,4,Citadine,Paris,Professionnel,Malus,
A1512,0.55,1,720,29,Homme,4,Break,Strasbourg,Privé,Malus,2024-05-14
A1513,0.5,2,4359,36,Homme,2,Utilitaire,Toulouse,Professionnel,Malus,2024-08-11
A1514,0.89,0,0,37,Femme,8,Break,Nantes,Privé,Malus,
A1515,0.88,2,6403,60,Homme,22,Berline,Toulouse,Professionnel,Bonus,2024-08-06
A1516,0.68,0,0,61,Femme,9,Cabriolet,Lille,Privé,Bonus,
A1517,0.94,0,0,49,Femme,9,Break,Rennes,Professionnel,Bonus,
A1518,0.93,0,0,59,Homme,19,Citadine,Paris,Professionnel,,
A1519,0.53,0,0,49,Femme,15,Citadine,Toulouse,Privé,,
A1520,0.55,2,18497,59,Homme,21,Berline,Lille,Professionnel,,2024-06-26
A1521,0.96,0,0,34,Femme,13,Utilitaire,Bordeaux,Professionnel,,
A1522,0.69,1,16757,39,Homme,14,Cabriolet,Nantes,Privé,Malus,2024-04-28
A1523,0.86,0,0,23,Homme,3,Break,Lille,Professionnel,Malus,
A1524,0.76,2,3109,25,Femme,7,Citadine,Lille,Professionnel,Malus,2024-08-22
A1525,0.96,0,0,38,Femme,4,Berline,Rennes,Privé,Malus,
A1526,0.63,0,0,54,Femme,24,Break,Toulouse,Professionnel,Bonus,
A1527,0.67,2,13148,41,Femme,14,Citadine,Rennes,Privé,,2024-08-10
A1528,0.81,1,13922,29,Homme,7,Citadine,Lille,Professionnel,Bonus,2024-07-24
A1529,0.98,0,0,47,Homme,15,Break,Paris,Privé,,
A1530,0.62,1,13608,32,Homme,10,Utilitaire,Strasbourg,Professionnel,Malus,2024-08-02
A1531,0.75,0,0,20,Femme,1,Break,Bordeaux,Professionnel,Bonus,
A1532,0.88,1,17438,69,Femme,37,Break,Lyon,Privé,Bonus,2024-11-29
A1533,0.91,0,0,67,Homme,7,Citadine,Nantes,Privé,Malus,
A1534,0.62,2,18854,23,Femme,1,Break,Paris,Professionnel,Malus,2024-05-06
A1535,0.59,1,13766,59,Femme,20,Citadine,Marseille,Professionnel,,2024-08-01
A1536,0.57,0,0,25,Femme,0,Utilitaire,Toulouse,Professionnel,Malus,
A1537,0.66,0,0,63,Homme,5,Citadine,Marseille,Privé,Bonus,
A1538,0.69,0,0,29,Femme,4,SUV,Nantes,Professionnel,,
A1539,0.87,1,14476,22,Femme,4,Utilitaire,Bordeaux,Privé,Bonus,2024-11-25
A1540,0.56,0,0,31,Femme,3,Cabriolet,Paris,Professionnel,,
A1541,0.7,1,843,26,Homme,5,Break,Paris,Privé,Bonus,2024-12-17
A1542,0.96,0,0,41,Homme,19,Break,Lille,Professionnel,,
A1543,0.64,0,0,36,Femme,5,Utilitaire,Toulouse,Privé,,
A1544,0.96,0,0,68,Femme,21,Utilitaire,Lyon,Professionnel,,
A1545,0.5,0,0,60,Femme,29,Break,Nantes,Privé,,
A1546,0.51,1,1225,59,Homme,28,Berline,Lyon,Professionnel,,2024-11-18
A1547,0.89,0,0,37,Homme,11,SUV,Lyon,Professionnel,,
A1548,0.75,0,0,51,Homme,26,Cabriolet,Strasbourg,Professionnel,Malus,
A1549,0.93,0,0,58,Homme,25,Utilitaire,Strasbourg,Privé,,
A1550,0.58,0,0,29,Femme,6,Utilitaire,Lyon,Professionnel,Malus,
A1551,0.77,1,6614,65,Homme,39,Citadine,Bordeaux,Professionnel,Malus,2024-01-29
A1552,0.55,0,0,66,Femme,8,Citadine,Marseille,Professionnel,Bonus,
A1553,0.84,3,15046,21,Homme,1,Break,Lille,Privé,Bonus,2024-08-09
A1554,0.84,0,0,70,Homme,31,Berline,Lyon,Professionnel,Bonus,
A1555,0.71,0,0,48,Femme,4,Berline,Bordeaux,Professionnel,Malus,
A1556,0.85,0,0,27,Homme,3,SUV,Toulouse,Professionnel,Bonus,
A1557,0.74,1,19843,57,Homme,36,Berline,Nice,Professionnel,,2024-03-28
A1558,0.96,0,0,31,Femme,3,Cabriolet,Bordeaux,Professionnel,Malus,
A1559,0.71,3,10554,26,Homme,1,Break,Rennes,Privé,Bonus,2024-05-13
A1560,0.77,0,0,18,Femme,0,Cabriolet,Paris,Privé,,
A1561,0.83,0,0,30,Femme,3,Berline,Strasbourg,Privé,Malus,
A1562,0.62,3,7803,62,Femme,32,SUV,Paris,Privé,Malus,2024-03-23
A1563,0.93,2,16909,51,Femme,12,Citadine,Lyon,Privé,Malus,2024-08-22
A1564,0.97,0,0,22,Femme,3,Citadine,Rennes,Privé,Bonus,
A1565,0.98,1,10875,39,Homme,5,Citadine,Paris,Professionnel,Malus,2024-01-29
A1566,0.6,0,0,64,Femme,1,Break,Paris,Professionnel,,
A1567,0.7,0,0,67,Homme,3,Citadine,Nice,Professionnel,,
A1568,0.87,0,0,20,Homme,2,Break,Nantes,Professionnel,Bonus,
A1569,0.87,0,0,22,Femme,3,Utilitaire,Strasbourg,Privé,,
A1570,0.91,0,0,43,Homme,0,Break,Marseille,Professionnel,Bonus,
A1571,0.97,0,0,49,Femme,30,Break,Strasbourg,Professionnel,Bonus,
A1572,0.73,0,0,26,Homme,1,Cabriolet,Nice,Privé,Bonus,
A1573,0.91,0,0,34,Homme,3,Berline,Toulouse,Professionnel,,
A1574,0.52,0,0,70,Femme,16,Cabriolet,Marseille,Privé,Malus,
A1575,0.76,1,7974,27,Homme,8,Berline,Paris,Professionnel,Malus,2024-03-31
A1576,0.51,0,0,57,Femme,5,SUV,Nantes,Privé,Malus,
A1577,0.96,3,2460,61,Homme,6,Utilitaire,Lille,Professionnel,Malus,2024-04-07
A1578,0.78,1,9209,41,Femme,15,Utilitaire,Bordeaux,Professionnel,Malus,2024-07-19
A1579,0.83,0,0,64,Homme,1,Citadine,Marseille,Professionnel,Malus,
A1580,0.67,0,0,65,Femme,14,Cabriolet,Lyon,Professionnel,Malus,
A1581,0.73,0,0,39,Homme,4,SUV,Strasbourg,Privé,,
A1582,0.86,3,7446,70,Femme,11,Berline,Lille,Privé,Malus,2024-06-08
A1583,0.84,0,0,70,Homme,10,Citadine,Lyon,Professionnel,Malus,
A1584,0.7,1,15239,29,Homme,1,Cabriolet,Nantes,Professionnel,Malus,2024-11-26
A1585,0.91,1,12272,38,Homme,1,Cabriolet,Paris,Professionnel,,2024-09-27
A1586,0.95,0,0,56,Homme,28,Cabriolet,Paris,Privé,,
A1587,0.96,0,0,40,Femme,0,SUV,Bordeaux,Professionnel,,
A1588,0.69,0,0,50,Femme,18,Break,Rennes,Professionnel,Bonus,
A1589,0.61,2,4508,35,Femme,4,SUV,Nantes,Professionnel,,2024-05-06
A1590,0.94,0,0,65,Femme,12,Berline,Marseille,Professionnel,Bonus,
A1591,0.68,0,0,50,Femme,15,Cabriolet,Toulouse,Privé,Malus,
A1592,0.84,0,0,18,Femme,0,SUV,Bordeaux,Professionnel,Malus,
A1593,0.84,0,0,64,Homme,5,Break,Bordeaux,Privé,Bonus,
A1594,0.54,2,3460,24,Femme,5,Citadine,Lyon,Privé,Bonus,2024-07-04
A1595,0.71,0,0,41,Homme,23,Berline,Lille,Professionnel,Bonus,
A1596,0.98,2,4522,23,Homme,3,Break,Strasbourg,Professionnel,Bonus,2024-02-18
A1597,0.7,1,18634,43,Homme,13,Break,Lille,Professionnel,Bonus,2024-07-18
A1598,0.96,0,0,23,Homme,5,Citadine,Lille,Professionnel,,
A1599,0.85,0,0,22,Homme,1,Utilitaire,Lyon,Privé,,
A1600,0.63,0,0,29,Femme,7,Berline,Bordeaux,Professionnel,,
A1601,0.58,0,0,41,Homme,0,Cabriolet,Bordeaux,Privé,Bonus,
A1602,0.92,0,0,36,Homme,3,Cabriolet,Marseille,Privé,Malus,
A1603,0.95,0,0,43,Homme,24,Berline,Paris,Professionnel,Bonus,
A1604,0.51,0,0,39,Femme,19,Break,Lyon,Privé,,
A1605,0.99,0,0,32,Homme,2,Berline,Rennes,Professionnel,Bonus,
A1606,0.54,1,4054,44,Homme,0,Cabriolet,Paris,Privé,Bonus,2024-07-08
A1607,0.58,0,0,59,Femme,35,Utilitaire,Lille,Professionnel,,
A1608,0.66,1,2796,55,Homme,6,Cabriolet,Toulouse,Privé,Bonus,2024-09-10
A1609,0.57,0,0,60,Femme,35,Cabriolet,Toulouse,Professionnel,,
A1610,0.54,0,0,64,Femme,10,Berline,Lille,Privé,,
A1611,0.88,0,0,44,Femme,8,SUV,Lyon,Privé,,
A1612,0.91,1,8887,67,Homme,28,Citadine,Nice,Professionnel,Bonus,2024-12-18
A1613,0.69,0,0,31,Homme,8,Citadine,Rennes,Privé,Bonus,
A1614,0.84,2,10568,28,Homme,0,Citadine,Rennes,Privé,Bonus,2024-06-21
A1615,0.71,0,0,56,Femme,8,Citadine,Toulouse,Privé,Bonus,
A1616,0.54,1,16981,65,Femme,15,Break,Marseille,Privé,,2024-09-20
A1617,0.86,3,13067,21,Homme,0,Citadine,Lyon,Professionnel,Malus,2024-10-09
A1618,0.82,0,0,45,Femme,1,Citadine,Nantes,Privé,Bonus,
A1619,0.66,0,0,44,Homme,2,Cabriolet,Strasbourg,Privé,,
A1620,0.51,3,3851,37,Homme,7,Break,Strasbourg,Professionnel,,2024-08-22
A1621,0.85,1,3083,40,Homme,20,Cabriolet,Paris,Privé,,2024-03-06
A1622,0.81,0,0,42,Femme,8,Break,Bordeaux,Professionnel,Malus,
A1623,0.68,0,0,44,Femme,18,SUV,Nantes,Privé,Bonus,
A1624,0.93,3,15060,18,Femme,0,SUV,Nice,Professionnel,,2024-06-14
A1625,0.88,0,0,34,Homme,4,Utilitaire,Nantes,Privé,Malus,
A1626,0.83,0,0,37,Homme,18,Citadine,Toulouse,Privé,Bonus,
A1627,0.69,0,0,42,Homme,5,Cabriolet,Lille,Professionnel,Malus,
A1628,0.91,0,0,50,Homme,8,Break,Nantes,Professionnel,Bonus,
A1629,0.84,0,0,47,Homme,24,Citadine,Nice,Professionnel,Malus,
A1630,0.54,0,0,68,Homme,26,SUV,Paris,Professionnel,Bonus,
A1631,0.57,2,13075,65,Femme,21,Utilitaire,Lille,Professionnel,,2024-11-09
A1632,0.73,0,0,30,Homme,10,Berline,Nantes,Professionnel,Malus,
A1633,0.53,3,19714,69,Homme,19,SUV,Rennes,Privé,Malus,2024-12-28
A1634,0.99,0,0,57,Homme,33,Berline,Rennes,Privé,,
A1635,0.73,0,0,61,Homme,32,Utilitaire,Nantes,Professionnel,Bonus,
A1636,0.62,0,0,63,Femme,38,Utilitaire,Bordeaux,Professionnel,Bonus,
A1637,0.6,0,0,48,Femme,3,Break,Rennes,Professionnel,Bonus,
A1638,0.96,0,0,66,Homme,30,Break,Rennes,Privé,Bonus,
A1639,0.94,1,12902,66,Homme,8,Berline,Lyon,Professionnel,Malus,2024-11-25
A1640,0.88,0,0,30,Femme,11,Citadine,Rennes,Professionnel,Bonus,
A1641,0.71,2,14066,22,Homme,0,Cabriolet,Strasbourg,Professionnel,Malus,2024-12-13
A1642,0.84,0,0,18,Femme,0,Break,Toulouse,Privé,Malus,
A1643,0.76,0,0,38,Homme,18,Berline,Nice,Privé,,
A1644,0.7,0,0,55,Homme,9,Break,Toulouse,Professionnel,,
A1645,0.64,0,0,57,Homme,5,Berline,Lille,Privé,,
A1646,0.7,0,0,38,Homme,2,Cabriolet,Rennes,Professionnel,,
A1647,0.98,1,9132,23,Femme,4,Cabriolet,Paris,Privé,Malus,2024-06-13
A1648,0.83,0,0,38,Homme,14,Utilitaire,Nice,Privé,Malus,
A1649,0.55,2,8444,63,Femme,23,Utilitaire,Lyon,Privé,Malus,2024-03-11
A1650,0.91,1,12868,47,Homme,11,Citadine,Bordeaux,Professionnel,Bonus,2024-06-04
A1651,0.64,1,3427,53,Femme,4,Cabriolet,Lille,Professionnel,Malus,2024-01-04
A1652,0.69,0,0,52,Homme,31,Citadine,Rennes,Professionnel,Bonus,
A1653,0.71,0,0,64,Femme,37,Berline,Marseille,Privé,Malus,
A1654,0.78,0,0,43,Femme,10,Berline,Lille,Professionnel,Bonus,
A1655,0.55,0,0,19,Femme,0,Cabriolet,Nantes,Professionnel,Bonus,
A1656,0.89,0,0,63,Femme,31,SUV,Bordeaux,Professionnel,,
A1657,0.88,0,0,30,Homme,3,Berline,Bordeaux,Privé,Malus,
A1658,0.53,1,5144,22,Femme,2,Break,Paris,Privé,Bonus,2024-11-17
A1659,0.63,1,14499,48,Homme,29,Citadine,Lille,Professionnel,Bonus,2024-06-02
A1660,0.7,1,9358,23,Femme,4,Citadine,Toulouse,Professionnel,Malus,2024-05-29
